ffp,xaidcode,disabledx,full,fosterx
,00,0,1,0
100,01,0,1,0
100,02,0,1,0
50,03,0,1,1
50,04,0,1,1
50,06,0,1,1
50,07,0,1,1
100,08,0,1,0
100,0A,0,1,0
,0C,0,0,0
65,0M,0,1,0
65,0N,0,1,0
65,0P,0,1,0
0,0R,0,0,0
0,0T,0,0,0
65,0U,0,0,0
65,0V,0,0,0
50,0W,0,1,0
,1,0,1,0
50,10,0,1,0
50,13,0,1,0
50,14,0,1,0
50,16,0,1,0
50,17,0,1,0
50,18,0,1,0
,1D,0,1,0
50,1E,0,1,0
50,1H,0,1,0
50,1U,0,0,0
50,1X,0,1,0
50,1Y,0,1,0
50,20,0,1,0
50,23,0,1,0
50,24,0,1,0
50,26,0,1,0
50,27,0,1,0
50,28,0,1,0
50,2A,0,1,0
,2D,0,1,0
50,2E,0,1,0
50,2H,0,1,0
,2L,1,0,
,2M,1,0,
,2N,1,0,
50,30,0,1,0
50,32,0,1,0
50,33,0,1,0
50,34,0,1,0
50,35,0,1,0
50,36,1,1,0
50,37,0,1,0
50,38,0,1,0
50,39,0,1,0
50,3A,0,1,0
50,3C,0,1,0
50,3D,0,1,0
50,3E,0,1,0
50,3F,0,1,0
50,3G,0,1,0
50,3H,0,1,0
50,3L,0,1,0
50,3M,0,1,0
50,3N,0,1,0
50,3P,0,1,0
50,3R,0,1,0
50,3T,0,0,0
50,3U,0,1,0
50,3V,0,0,0
50,3W,0,1,0
50,40,0,1,1
,41,0,1,1
50,42,0,1,1
50,43,0,1,1
50,44,0,0,0
50,45,0,1,0
50,46,0,1,1
50,47,0,1,0
50,48,0,0,0
50,49,0,1,1
50,4A,0,1,0
,4C,0,1,1
50,4E,0,1,1
50,4F,0,1,1
50,4G,0,1,1
50,4H,0,1,1
50,4K,0,1,1
50,4L,0,1,1
50,4M,0,1,1
50,4N,0,1,1
50,4P,0,1,0
50,4R,0,1,0
50,4S,0,1,1
50,4T,0,1,1
50,4W,0,1,1
0,50,0,0,0
0,53,0,0,0
50,54,0,1,0
50,55,0,0,0
50,58,0,0,0
50,59,0,1,0
65,5C,0,1,0
65,5D,0,1,0
50,5E,0,1,0
50,5F,0,0,0
50,5J,0,0,0
50,5K,0,1,1
50,5R,0,0,0
50,5T,0,0,0
50,5W,0,0,0
,5X,0,1,0
,5Y,0,0,0
50,60,1,1,0
50,63,1,1,0
50,64,1,1,0
0,65,1,1,0
50,66,1,1,0
50,67,1,1,0
50,68,1,1,0
50,69,0,0,0
50,6A,1,1,0
50,6C,1,1,0
,6D,1,1,0
50,6E,1,1,0
50,6G,1,1,0
50,6H,1,1,0
50,6J,1,1,0
50,6N,1,1,0
50,6P,1,1,0
50,6R,1,1,0
50,6U,1,0,0
50,6V,1,1,0
50,6W,1,1,0
50,6X,1,1,0
50,6Y,1,1,0
,70,0,0,0
,71,0,0,0
50,72,0,1,0
,73,0,0,0
50,74,0,0,0
,75,0,0,0
50,76,0,0,0
,79,0,0,0
50,7A,0,1,0
50,7C,0,0,0
,7F,0,0,0
,7G,0,0,0
,7H,0,0,0
50,7J,0,1,0
50,7K,0,0,0
50,7M,0,0,0
50,7N,0,0,0
50,7P,0,0,0
,7R,0,0,0
50,7S,0,1,0
50,7T,0,1,0
100,7U,0,1,0
50,7W,0,1,0
65,7X,0,1,0
0,80,0,0,0
,81,0,1,0
50,82,0,1,0
50,83,0,1,0
0,84,0,0,0
0,85,0,0,0
50,86,0,1,0
50,87,0,1,0
0,88,0,0,0
0,89,0,0,0
50,8E,0,1,0
,8F,0,0,0
50,8G,1,1,0
,8H,0,0,0
65,8N,0,0,0
65,8P,0,1,0
65,8R,0,1,0
65,8T,0,0,0
50,8U,0,1,0
50,8V,0,1,0
50,8W,0,1,0
65,8X,0,1,0
,8Y,0,1,0
,9A,0,0,0
65,9H,0,1,0
,9J,1,0,0
,9K,1,0,0
,9M,1,0,0
,9N,1,0,0
65,9R,1,0,0
,9U,1,,
50,C1,0,0,0
50,C2,0,0,0
50,C3,1,0,0
50,C4,1,0,0
50,C5,0,0,0
50,C6,0,0,0
50,C7,1,0,0
50,C8,1,0,0
50,C9,0,0,0
,CV,,0,
50,D1,0,0,0
50,D2,0,0,0
50,D3,0,0,0
50,D4,1,0,0
50,D5,1,0,0
50,D6,1,0,0
50,D7,1,0,0
50,D8,0,0,0
50,D9,0,0,0
65,E1,0,0,0
65,E2,0,1,0
65,E4,0,0,0
65,E5,0,1,0
65,E6,0,1,0
65,E7,0,1,0
50,F1,,0,0
50,G0,0,1,0
50,G1,0,0,0
50,G5,0,0,0
50,G7,0,0,0
65,H0,0,1,0
65,H1,0,1,0
65,H2,0,1,0
65,H3,0,1,0
65,H4,0,1,0
65,H5,0,1,0
65,H6,0,1,0
50,H7,0,1,0
50,H8,0,1,0
65,H9,0,1,0
50,J1,1,1,0
50,J2,1,1,0
50,J5,1,1,0
50,J7,1,1,0
50,K1,0,1,0
100,L1,0,1,0
65,L2,0,1,0
65,L3,0,0,0
65,L4,0,1,0
65,L5,0,0,0
50,M0,0,0,0
100,M1,0,1,0
100,M2,0,0,0
50,M3,0,1,0
50,M4,0,0,0
65,M5,0,1,0
65,M6,0,0,0
50,M7,0,1,0
50,M8,0,0,0
50,M9,0,0,0
100,N0,0,0,0
100,N5,0,0,0
100,N6,0,0,0
100,N7,0,0,0
100,N8,0,0,0
100,N9,0,0,0
50,P0,0,0,0
50,P1,0,1,0
50,P2,0,1,0
50,P3,0,1,0
50,P4,0,0,0
50,P5,0,1,0
65,P6,0,0,0
50,P7,0,1,0
50,P8,0,0,0
50,P9,0,1,0
65,T0,0,0,0
65,T1,0,1,0
65,T2,0,1,0
65,T3,0,1,0
65,T4,0,1,0
65,T5,0,1,0
65,T6,0,0,0
65,T7,0,0,0
65,T8,0,0,0
65,T9,0,0,0
